portfolio_id,severity,display_type,rule,target_kind,renderer,affected_targets,authored_consumers
GF-F-BAR-CHART-FIGURE-FAMILY-CR-ORIGIN,MAJOR,bar_chart,origin,figure_renderer,CrLinearVsQuadratic,1,1
GF-F-BAR-CHART-FIGURE-FAMILY-CR-TICKS,MAJOR,bar_chart,ticks,figure_renderer,CrLinearVsQuadratic,1,1
GF-F-BAR-CHART-FIGURE-FAMILY-G2G-ORIGIN,MAJOR,bar_chart,origin,figure_renderer,G2gBarGap,1,4
GF-F-BAR-CHART-FIGURE-FAMILY-LC-ORIGIN,MAJOR,bar_chart,origin,figure_renderer,LcPartialSums,1,1
GF-F-BAR-CHART-FIGURE-FAMILY-LC-TICKS,MAJOR,bar_chart,ticks,figure_renderer,LcPartialSums,1,1
GF-F-BAR-CHART-FIGURE-FAMILY-MD3-ORIGIN,MAJOR,bar_chart,origin,figure_renderer,Md3BarGraph,1,2
GF-F-BAR-CHART-FIGURE-FAMILY-MMT-ORIGIN,MAJOR,bar_chart,origin,figure_renderer,MmtPictureGraph,2,9
GF-F-BAR-CHART-FIGURE-FAMILY-MMT-TICKS,MAJOR,bar_chart,ticks,figure_renderer,MmtPictureGraph,2,9
GF-F-BAR-CHART-FIGURE-FAMILY-SINGLE-ORIGIN,MAJOR,bar_chart,origin,figure_renderer,SingleScaleGraph,1,10
GF-F-BOX-PLOT-FIGURE-FAMILY-DD-TICKS,MAJOR,box_plot,ticks,figure_renderer,DdBoxFiveNumber,3,4
GF-F-BOX-PLOT-FIGURE-FAMILY-DM-TICKS,MAJOR,box_plot,ticks,figure_renderer,DmCompareSpread,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-ASV-GRID,MINOR,coordinate_graph,grid,figure_renderer,AsvCoordLength,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-ASV-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,AsvCoordLength,6,6
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-ASV-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,AsvCoordLength,6,6
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-AVP-GRID,MINOR,coordinate_graph,grid,figure_renderer,AvpOpenClosedCircle,2,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-AVP-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,AvpOpenClosedCircle,2,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-AVP-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,AvpOpenClosedCircle,2,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-BV-GRID,MINOR,coordinate_graph,grid,figure_renderer,BvLineEquation,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-BV-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,BvLineEquation,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-BV-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,BvLineEquation,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CG-GRID,MINOR,coordinate_graph,grid,figure_renderer,CgTownMap,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CG-LABELS,MINOR,coordinate_graph,labels,figure_renderer,CgEachPlottable,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CG-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,CgTownMap,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CG-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,CgTownMap,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-GRID,MINOR,coordinate_graph,grid,figure_renderer,CnComplexPlane,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,CnComplexPlane,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CN-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,CnComplexPlane,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CO-GRID,MINOR,coordinate_graph,grid,figure_renderer,CoHyperbolaFoci,4,8
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CO-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,CoHyperbolaFoci,4,8
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CO-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,CoHyperbolaFoci,4,8
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-COMPLEX-GRID,MINOR,coordinate_graph,grid,figure_renderer,ComplexPlane,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-COMPLEX-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,ComplexPlane,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-COORDINATE-GRID,MINOR,coordinate_graph,grid,figure_renderer,CoordinatePlane,1,13
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-COORDINATE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,CoordinatePlane,1,13
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-GRID,MINOR,coordinate_graph,grid,figure_renderer,CxSimilarWalk,4,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,CxSimilarWalk,4,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-CX-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,CxSimilarWalk,4,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DE-GRID,MINOR,coordinate_graph,grid,figure_renderer,DeSlopeFieldThreads,1,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,DeSlopeFieldThreads,1,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,DeSlopeFieldThreads,1,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DISCRIMINANT-GRID,MINOR,coordinate_graph,grid,figure_renderer,DiscriminantCases,1,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DISCRIMINANT-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,DiscriminantCases,1,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DISCRIMINANT-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,DiscriminantCases,1,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DR-GRID,MINOR,coordinate_graph,grid,figure_renderer,DrCornerNoTangent,1,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DR-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,DrCornerNoTangent,1,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-DR-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,DrCornerNoTangent,1,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-END-GRID,MINOR,coordinate_graph,grid,figure_renderer,EndBehaviorQuadrants,1,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-END-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,EndBehaviorQuadrants,1,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-END-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,EndBehaviorQuadrants,1,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-EXP-GRID,MINOR,coordinate_graph,grid,figure_renderer,ExpCurveGrowth,2,10
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-EXP-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,ExpCurveGrowth,2,10
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-EXP-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,ExpCurveGrowth,2,10
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-EXTRANEOUS-GRID,MINOR,coordinate_graph,grid,figure_renderer,ExtraneousIntersection,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-EXTRANEOUS-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,ExtraneousIntersection,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-EXTRANEOUS-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,ExtraneousIntersection,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FERRIS-GRID,MINOR,coordinate_graph,grid,figure_renderer,FerrisWheelWave,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FERRIS-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,FerrisWheelWave,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FERRIS-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,FerrisWheelWave,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FG-GRID,MINOR,coordinate_graph,grid,figure_renderer,FgInitialValue,3,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FG-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,FgInitialValue,3,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FG-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,FgInitialValue,3,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FN-GRID,MINOR,coordinate_graph,grid,figure_renderer,FnVerticalLineTest,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FN-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,FnVerticalLineTest,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FN-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,FnVerticalLineTest,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FNA-GRID,MINOR,coordinate_graph,grid,figure_renderer,FnaEvenSymmetry,4,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FNA-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,FnaEvenSymmetry,4,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FNA-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,FnaEvenSymmetry,4,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FOUR-GRID,MINOR,coordinate_graph,grid,figure_renderer,FourQuadrantPlane,1,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FOUR-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,FourQuadrantPlane,1,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FOUR-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,FourQuadrantPlane,1,2
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FT-GRID,MINOR,coordinate_graph,grid,figure_renderer,FtParentSquareAbs,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FT-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,FtParentSquareAbs,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FT-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,FtParentSquareAbs,3,3
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-GRID,MINOR,coordinate_graph,grid,figure_renderer,GfReflectionsSigns,5,6
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,GfReflectionsSigns,4,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,GfReflectionsSigns,5,6
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-HOLE-GRID,MINOR,coordinate_graph,grid,figure_renderer,HoleVsAsymptote,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-HOLE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,HoleVsAsymptote,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-HOLE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,HoleVsAsymptote,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-IA-GRID,MINOR,coordinate_graph,grid,figure_renderer,IaStripToDisc,1,6
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-IA-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,IaStripToDisc,1,6
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-IA-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,IaStripToDisc,1,6
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-INVERSE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,InverseReflection,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-INVERSE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,InverseReflection,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-KITE-GRID,MINOR,coordinate_graph,grid,figure_renderer,KiteDiagonals,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-KITE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,KiteDiagonals,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LC-GRID,MINOR,coordinate_graph,grid,figure_renderer,LcJumpOnesided,3,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LC-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,LcJumpOnesided,3,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LC-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,LcJumpOnesided,3,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LES-GRID,MINOR,coordinate_graph,grid,figure_renderer,LesGraphSolution,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LES-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,LesGraphSolution,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LES-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,LesGraphSolution,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LF-GRID,MINOR,coordinate_graph,grid,figure_renderer,LfXIntercept,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,LfXIntercept,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,LfXIntercept,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LINE-GRID,MINOR,coordinate_graph,grid,figure_renderer,LineIntercepts,1,9
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LINE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,LineIntercepts,1,9
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LINE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,LineIntercepts,1,9
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-MD3-GRID,MINOR,coordinate_graph,grid,figure_renderer,Md3Pictograph,5,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-MD3-LABELS,MINOR,coordinate_graph,labels,figure_renderer,Md3PictographFourApples,4,4
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-MD3-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,Md3Pictograph,5,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-MD3-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,Md3Pictograph,5,5
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-MIDPOINT-GRID,MINOR,coordinate_graph,grid,figure_renderer,MidpointAverage,1,1
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-MIDPOINT-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,MidpointAverage,1,1
